Done vet in 0s
Done test in 1s
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkGet/Btree/Random/Order-8-8 	     100	        37.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-8-8 	     100	        35.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	     100	        39.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	     100	        36.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	     100	        40.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	     100	        38.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	     100	        37.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	     100	        36.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	     100	        36.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	     100	        38.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	     100	        38.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	     100	        37.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	     100	        36.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	     100	        34.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	     100	        34.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	     100	        37.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	     100	        38.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	     100	        38.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	     100	        40.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	     100	        35.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	     100	        36.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	     100	        34.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	     100	        32.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	     100	        39.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	     100	        37.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	     100	        36.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	     100	        37.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	     100	        35.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	     100	        36.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	     100	        35.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	     100	        36.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	     100	        36.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	     100	        37.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	     100	        38.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-18-8         	     100	        40.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-18-8         	     100	        39.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-18-8         	     100	        37.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-18-8         	     100	        35.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-18-8         	     100	        48.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-18-8         	     100	        37.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-18-8         	     100	        35.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-18-8         	     100	        35.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-20-8         	     100	        43.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-20-8         	     100	        39.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-20-8         	     100	        36.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-20-8         	     100	        36.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-20-8         	     100	        37.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-20-8         	     100	        34.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-20-8         	     100	        37.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-20-8         	     100	        35.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-8         	     100	        39.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-8         	     100	        38.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-8         	     100	        35.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-8         	     100	        36.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-8         	     100	        37.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-22-8         	     100	        36.13 ns/op	       0 B/op	       0 allocs/op
