goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
                                 │ linear.txt  │
                                 │   sec/op    │
Get/Btree/Ascending/Order-28-8     57.63n ± 0%
Get/Btree/Ascending/Order-30-8     55.75n ± 1%
Get/Btree/Ascending/Order-32-8     55.08n ± 1%
Get/Btree/Ascending/Order-34-8     54.75n ± 0%
Get/Btree/Ascending/Order-36-8     55.88n ± 0%
Get/Btree/Ascending/Order-38-8     57.21n ± 0%
Get/Btree/Ascending/Order-40-8     57.67n ± 1%
Get/Btree/Ascending/Order-42-8     58.27n ± 0%
Get/Btree/Ascending/Order-44-8     60.31n ± 0%
Get/Btree/Ascending/Order-46-8     60.66n ± 0%
Get/Btree/Ascending/Order-48-8     62.31n ± 2%
Get/Btree/Ascending/Order-50-8     62.65n ± 1%
Get/Btree/Ascending/Order-52-8     64.59n ± 0%
Get/Btree/Ascending/Order-54-8     63.96n ± 1%
Get/Btree/Ascending/Order-56-8     65.75n ± 0%
Get/Btree/Ascending/Order-58-8     69.70n ± 0%
Get/Btree/Ascending/Order-60-8     68.60n ± 1%
Get/Btree/Ascending/Order-62-8     74.20n ± 0%
Get/Btree/Ascending/Order-64-8     73.39n ± 1%
Get/Btree/Ascending/Order-66-8     71.67n ± 0%
Get/Btree/Ascending/Order-68-8     71.28n ± 1%
Get/Btree/Ascending/Order-70-8     79.59n ± 1%
Get/Btree/Ascending/Order-72-8     78.24n ± 1%
Get/Btree/Ascending/Order-74-8     77.34n ± 1%
Get/Btree/Ascending/Order-76-8     76.82n ± 0%
Get/Btree/Ascending/Order-78-8     76.65n ± 2%
Get/Btree/Ascending/Order-80-8     86.67n ± 0%
Get/Btree/Ascending/Order-82-8     86.33n ± 1%
Get/Btree/Ascending/Order-84-8     85.46n ± 0%
Get/Btree/Ascending/Order-86-8     85.20n ± 1%
Get/Btree/Ascending/Order-88-8     84.77n ± 1%
Get/Btree/Ascending/Order-90-8     84.38n ± 0%
Get/Btree/Ascending/Order-92-8     83.68n ± 0%
Get/Btree/Ascending/Order-94-8     83.84n ± 0%
Get/Btree/Ascending/Order-96-8     83.47n ± 0%
Get/Btree/Ascending/Order-98-8     83.35n ± 1%
Get/Btree/Ascending/Order-100-8    83.26n ± 0%
Get/Btree/Ascending/Order-102-8    83.08n ± 0%
Get/Btree/Ascending/Order-104-8    83.07n ± 1%
Get/Btree/Ascending/Order-106-8    83.02n ± 0%
Get/Btree/Ascending/Order-108-8    82.95n ± 0%
Get/Btree/Ascending/Order-110-8    83.09n ± 0%
Get/Btree/Ascending/Order-112-8    83.30n ± 1%
Get/Btree/Ascending/Order-114-8    83.26n ± 0%
Get/Btree/Ascending/Order-116-8    83.21n ± 0%
Get/Btree/Ascending/Order-118-8    83.85n ± 0%
Get/Btree/Ascending/Order-120-8    83.53n ± 1%
Get/Btree/Ascending/Order-122-8    83.98n ± 1%
Get/Btree/Ascending/Order-124-8    83.76n ± 1%
Get/Btree/Ascending/Order-126-8    84.06n ± 0%
Get/Btree/Ascending/Order-128-8    84.27n ± 0%
Get/Btree/Ascending/Order-130-8    84.63n ± 1%
Get/Btree/Ascending/Order-132-8    85.05n ± 1%
Get/Btree/Ascending/Order-134-8    85.17n ± 0%
Get/Btree/Ascending/Order-136-8    85.15n ± 0%
Get/Btree/Ascending/Order-138-8    86.03n ± 1%
Get/Btree/Ascending/Order-140-8    85.78n ± 0%
Get/Btree/Ascending/Order-142-8    86.43n ± 1%
Get/Btree/Ascending/Order-144-8    86.28n ± 1%
Get/Btree/Ascending/Order-146-8    86.81n ± 1%
Get/Btree/Ascending/Order-148-8    87.31n ± 1%
Get/Btree/Ascending/Order-150-8    87.69n ± 0%
Get/Btree/Ascending/Order-152-8    87.72n ± 0%
