Done vet in 0s
Done test in 0s
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkBtreeSet/Random/Order-58-8         	 4772638	       372.6 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-59-8         	 4790576	       380.0 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-60-8         	 4781215	       374.1 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-61-8         	 4790977	       375.8 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-62-8         	 4720584	       373.6 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-63-8         	 4801183	       375.3 ns/op	      35 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-64-8         	 4649228	       376.9 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-65-8         	 4714918	       382.6 ns/op	      35 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-66-8         	 4741016	       381.2 ns/op	      35 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-67-8         	 4659804	       383.7 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-68-8         	 4676034	       386.4 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-69-8         	 4655139	       386.0 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-70-8         	 4692142	       390.0 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-71-8         	 4691767	       389.2 ns/op	      35 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-72-8         	 4504860	       380.7 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-73-8         	 4540780	       382.7 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-74-8         	 4516429	       380.4 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-75-8         	 4523523	       380.7 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-76-8         	 4481455	       381.5 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-77-8         	 4495524	       384.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-78-8         	 4536555	       382.5 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-79-8         	 4486894	       381.7 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-80-8         	 4245892	       377.6 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-81-8         	 4504144	       381.6 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-82-8         	 4533990	       383.7 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-83-8         	 4523274	       386.0 ns/op	      35 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-84-8         	 4493540	       383.7 ns/op	      35 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-85-8         	 4505372	       385.2 ns/op	      34 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-86-8         	 4415305	       406.4 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-87-8         	 4397514	       406.3 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-88-8         	 4360014	       413.6 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-89-8         	 4372218	       409.5 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-90-8         	 4371594	       412.4 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-91-8         	 4345344	       411.3 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-92-8         	 4350074	       413.9 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-93-8         	 4308832	       413.8 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-94-8         	 4306014	       413.8 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-95-8         	 4261594	       417.6 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-96-8         	 4249489	       422.1 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-97-8         	 4267887	       417.6 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-98-8         	 4190906	       419.1 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-99-8         	 4234156	       421.3 ns/op	      35 B/op	       0 allocs/op
