goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkBtreeSet/Random/Order-8-4 	 2315390	       637.9 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2385382	       639.9 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2357983	       638.5 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2437768	       629.2 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2443740	       657.9 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2409736	       632.9 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2323135	       618.3 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2342487	       510.0 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2398292	       629.4 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2324518	       633.1 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2375668	       646.2 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2261040	       622.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2277207	       623.4 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2295380	       635.2 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2936229	       658.1 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2394295	       613.9 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2367412	       617.1 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2642913	       445.7 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2358183	       619.7 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2297205	       627.1 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2394102	       616.4 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2475746	       625.7 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2397672	       613.9 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2421528	       626.4 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2353123	       596.8 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2349861	       617.5 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2465464	       636.1 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2339926	       612.5 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2313200	       624.0 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2341006	       617.8 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2352342	       604.3 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2403237	       639.1 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2383800	       621.5 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2374119	       633.9 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2383921	       607.2 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2351854	       611.1 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2400255	       623.7 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2369500	       629.3 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2368820	       581.5 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2355885	       613.4 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2257350	       591.6 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2364085	       599.7 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2481523	       621.8 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2385439	       626.7 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2285596	       612.9 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2345518	       623.1 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2379681	       612.6 ns/op	      38 B/op	       0 allocs/op
