Done vet in 1s
Done test in 1s
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkGet/Btree/Random/Order-8-8 	 1000000	       318.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-8-8 	 1000000	       316.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-8-8 	 1000000	       315.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-8-8 	 1000000	       316.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	 1000000	       311.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	 1000000	       307.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	 1000000	       310.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	 1000000	       313.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	 1000000	       311.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	 1000000	       310.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	 1000000	       320.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-10-8         	 1000000	       322.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	 1000000	       302.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	 1000000	       299.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	 1000000	       297.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	 1000000	       298.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	 1000000	       297.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	 1000000	       297.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	 1000000	       295.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-12-8         	 1000000	       298.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	 1000000	       291.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	 1000000	       290.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	 1000000	       293.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	 1000000	       290.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	 1000000	       291.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	 1000000	       291.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	 1000000	       289.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-14-8         	 1000000	       294.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	 1000000	       286.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	 1000000	       289.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet/Btree/Random/Order-16-8         	 1000000	       288.2 ns/op	       0 B/op	       0 allocs/op
