goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkBtreeSet/Random/Order-8-4 	 2670913	       616.6 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2562470	       577.6 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2630940	       586.2 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2514106	       573.5 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2614296	       716.1 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2391985	       584.3 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2603302	       595.9 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2687302	       585.9 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2665167	       564.2 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2612844	       588.9 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2582958	       598.9 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2807757	       598.0 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2621187	       594.6 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2635623	       590.2 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2757927	       573.4 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 3051096	       576.6 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2855329	       602.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2738070	       580.2 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2495574	       600.3 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2855533	       598.5 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2714954	       579.9 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2787394	       561.6 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2703991	       561.9 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2919619	       582.8 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2860722	       569.0 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2778249	       564.7 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2767285	       574.8 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 3626175	       617.4 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2807445	       571.4 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2827382	       576.5 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2620449	       552.6 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2345096	       542.2 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2839816	       578.9 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2945544	       590.8 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2842676	       572.7 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2568686	       608.6 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2686238	       554.7 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-12-4         	 2715219	       560.0 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2899890	       577.0 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2846796	       560.7 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2836201	       573.8 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2852500	       558.4 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2866449	       575.2 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2880694	       567.6 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2915269	       552.1 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2825079	       565.0 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2927833	       546.3 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2805073	       548.3 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2707270	       553.3 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2906748	       552.9 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2860956	       549.9 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2953447	       532.4 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2853630	       552.6 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 3071688	       571.7 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2816269	       556.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2873242	       558.6 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2912982	       542.0 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2602846	       549.3 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2905531	       571.9 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2640421	       537.2 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2834262	       555.1 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2922298	       526.2 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2864277	       529.8 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2705997	       562.8 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2766643	       537.8 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2844781	       536.7 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2811012	       522.8 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2611711	       520.4 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2922321	       552.7 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2801188	       529.1 ns/op	      41 B/op	       0 allocs/op
