goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkBtreeSet/Random/Order-8-4 	 2797513	       575.6 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2771714	       574.8 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2962164	       546.5 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2754471	       436.2 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 3051766	       599.8 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-8-4 	 2778487	       573.6 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2829199	       561.8 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2787385	       552.1 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2789382	       575.1 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2891430	       578.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2945414	       584.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2879470	       559.6 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2743791	       569.2 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-9-4 	 2900262	       560.2 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 3310976	       590.8 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2955096	       552.2 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2940952	       552.9 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2607399	       547.9 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2899256	       569.5 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2822266	       564.0 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2750301	       560.2 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-10-4         	 2932825	       550.0 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-11-4         	 2854255	       550.5 ns/op	      40 B/op	       0 allocs/op
