goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
                                 │  binary.txt  │
                                 │    sec/op    │
Get/Btree/Random/Order-226-8       263.9n ±  1%
Get/Btree/Random/Order-228-8       262.4n ±  1%
Get/Btree/Random/Order-230-8       263.3n ±  0%
Get/Btree/Random/Order-232-8       263.9n ±  1%
Get/Btree/Random/Order-234-8       263.0n ±  1%
Get/Btree/Random/Order-236-8       263.2n ±  2%
Get/Btree/Random/Order-238-8       265.0n ±  1%
Get/Btree/Random/Order-240-8       263.9n ±  1%
Get/Btree/Random/Order-242-8       262.9n ±  1%
Get/Btree/Random/Order-244-8       264.7n ±  1%
Get/Btree/Random/Order-246-8       263.9n ±  1%
Get/Btree/Random/Order-248-8       263.4n ±  1%
Get/Btree/Random/Order-250-8       264.6n ±  1%
Get/Btree/Random/Order-252-8       263.6n ±  1%
Get/Btree/Random/Order-254-8       264.1n ±  0%
Get/Btree/Random/Order-256-8       264.7n ±  1%
Get/Btree/Ascending/Order-2-8      77.12n ±  0%
Get/Btree/Ascending/Order-4-8      68.36n ±  1%
Get/Btree/Ascending/Order-6-8      62.85n ±  1%
Get/Btree/Ascending/Order-8-8      61.20n ±  0%
Get/Btree/Ascending/Order-10-8     60.13n ±  1%
Get/Btree/Ascending/Order-12-8     63.49n ±  3%
Get/Btree/Ascending/Order-14-8     60.72n ±  2%
Get/Btree/Ascending/Order-16-8     60.34n ±  2%
Get/Btree/Ascending/Order-18-8     59.83n ±  2%
Get/Btree/Ascending/Order-20-8     60.38n ±  3%
Get/Btree/Ascending/Order-22-8     61.55n ±  1%
Get/Btree/Ascending/Order-24-8     62.84n ±  1%
Get/Btree/Ascending/Order-26-8     60.34n ±  1%
Get/Btree/Ascending/Order-28-8     61.09n ±  3%
Get/Btree/Ascending/Order-30-8     62.04n ±  4%
Get/Btree/Ascending/Order-32-8     63.86n ±  0%
Get/Btree/Ascending/Order-34-8     63.98n ±  1%
Get/Btree/Ascending/Order-36-8     61.59n ±  1%
Get/Btree/Ascending/Order-38-8     61.13n ±  1%
Get/Btree/Ascending/Order-40-8     60.01n ±  0%
Get/Btree/Ascending/Order-42-8     59.53n ±  1%
Get/Btree/Ascending/Order-44-8     60.54n ±  1%
Get/Btree/Ascending/Order-46-8     60.87n ±  1%
Get/Btree/Ascending/Order-48-8     61.61n ±  2%
Get/Btree/Ascending/Order-50-8     60.92n ±  2%
Get/Btree/Ascending/Order-52-8     60.62n ±  2%
Get/Btree/Ascending/Order-54-8     61.73n ±  3%
Get/Btree/Ascending/Order-56-8     61.43n ±  2%
Get/Btree/Ascending/Order-58-8     61.83n ±  2%
Get/Btree/Ascending/Order-60-8     61.72n ±  1%
Get/Btree/Ascending/Order-62-8     62.71n ±  3%
Get/Btree/Ascending/Order-64-8     63.01n ±  4%
Get/Btree/Ascending/Order-66-8     62.21n ±  1%
Get/Btree/Ascending/Order-68-8     61.88n ±  2%
Get/Btree/Ascending/Order-70-8     61.41n ±  2%
Get/Btree/Ascending/Order-72-8     60.88n ±  2%
Get/Btree/Ascending/Order-74-8     60.93n ±  0%
Get/Btree/Ascending/Order-76-8     60.29n ±  2%
Get/Btree/Ascending/Order-78-8     59.82n ±  1%
Get/Btree/Ascending/Order-80-8     58.95n ±  1%
Get/Btree/Ascending/Order-82-8     58.61n ±  1%
Get/Btree/Ascending/Order-84-8     58.33n ±  1%
Get/Btree/Ascending/Order-86-8     58.70n ±  2%
Get/Btree/Ascending/Order-88-8     58.57n ±  1%
Get/Btree/Ascending/Order-90-8     58.70n ±  1%
Get/Btree/Ascending/Order-92-8     58.94n ±  2%
Get/Btree/Ascending/Order-94-8     58.66n ±  1%
Get/Btree/Ascending/Order-96-8     58.72n ±  1%
Get/Btree/Ascending/Order-98-8     59.09n ±  0%
Get/Btree/Ascending/Order-100-8    59.21n ±  2%
Get/Btree/Ascending/Order-102-8    59.40n ±  1%
Get/Btree/Ascending/Order-104-8    59.62n ±  2%
Get/Btree/Ascending/Order-106-8    59.87n ±  2%
Get/Btree/Ascending/Order-108-8    59.59n ±  1%
Get/Btree/Ascending/Order-110-8    59.89n ±  2%
Get/Btree/Ascending/Order-112-8    59.51n ±  1%
Get/Btree/Ascending/Order-114-8    60.06n ±  1%
Get/Btree/Ascending/Order-116-8    60.08n ±  2%
Get/Btree/Ascending/Order-118-8    60.10n ±  2%
Get/Btree/Ascending/Order-120-8    60.22n ±  1%
Get/Btree/Ascending/Order-122-8    60.77n ±  2%
