goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
                                 │  binary.txt  │
                                 │    sec/op    │
Set/Btree/Ascending/Order-58-8     33.36n ±  1%
Set/Btree/Ascending/Order-60-8     33.14n ±  1%
Set/Btree/Ascending/Order-62-8     33.13n ±  3%
Set/Btree/Ascending/Order-64-8     32.70n ±  2%
Set/Btree/Ascending/Order-66-8     32.25n ±  2%
Set/Btree/Ascending/Order-68-8     31.55n ±  5%
Set/Btree/Ascending/Order-70-8     31.58n ±  1%
Set/Btree/Ascending/Order-72-8     33.42n ±  1%
Set/Btree/Ascending/Order-74-8     32.77n ±  6%
Set/Btree/Ascending/Order-76-8     32.29n ±  1%
Set/Btree/Ascending/Order-78-8     31.66n ±  1%
Set/Btree/Ascending/Order-80-8     31.46n ±  1%
Set/Btree/Ascending/Order-82-8     31.29n ±  2%
Set/Btree/Ascending/Order-84-8     31.60n ±  7%
Set/Btree/Ascending/Order-86-8     30.12n ±  1%
Set/Btree/Ascending/Order-88-8     29.99n ±  1%
Set/Btree/Ascending/Order-90-8     29.80n ±  1%
Set/Btree/Ascending/Order-92-8     29.81n ±  1%
Set/Btree/Ascending/Order-94-8     29.45n ±  1%
Set/Btree/Ascending/Order-96-8     29.43n ±  1%
Set/Btree/Ascending/Order-98-8     29.32n ±  2%
Set/Btree/Ascending/Order-100-8    29.12n ±  1%
Set/Btree/Ascending/Order-102-8    29.87n ±  1%
Set/Btree/Ascending/Order-104-8    29.85n ±  1%
Set/Btree/Ascending/Order-106-8    29.61n ±  0%
Set/Btree/Ascending/Order-108-8    29.46n ±  1%
Set/Btree/Ascending/Order-110-8    29.87n ±  2%
Set/Btree/Ascending/Order-112-8    29.59n ±  1%
Set/Btree/Ascending/Order-114-8    29.52n ±  1%
Set/Btree/Ascending/Order-116-8    29.32n ±  0%
Set/Btree/Ascending/Order-118-8    30.16n ±  0%
Set/Btree/Ascending/Order-120-8    29.95n ±  1%
Set/Btree/Ascending/Order-122-8    28.99n ±  1%
Set/Btree/Ascending/Order-124-8    28.82n ±  1%
Set/Btree/Ascending/Order-126-8    28.77n ±  1%
Set/Btree/Ascending/Order-128-8    28.65n ±  1%
Set/Btree/Ascending/Order-130-8    28.46n ±  2%
Set/Btree/Ascending/Order-132-8    28.54n ±  1%
Set/Btree/Ascending/Order-134-8    28.30n ±  1%
Set/Btree/Ascending/Order-136-8    28.36n ±  1%
Set/Btree/Ascending/Order-138-8    28.51n ±  1%
Set/Btree/Ascending/Order-140-8    28.02n ±  0%
Set/Btree/Ascending/Order-142-8    28.02n ±  0%
Set/Btree/Ascending/Order-144-8    31.30n ±  1%
Set/Btree/Ascending/Order-146-8    31.27n ±  1%
Set/Btree/Ascending/Order-148-8    31.24n ±  0%
Set/Btree/Ascending/Order-150-8    30.98n ±  0%
Set/Btree/Ascending/Order-152-8    30.95n ±  1%
Set/Btree/Ascending/Order-154-8    30.90n ±  1%
Set/Btree/Ascending/Order-156-8    30.81n ±  1%
Set/Btree/Ascending/Order-158-8    30.54n ±  1%
Set/Btree/Ascending/Order-160-8    30.57n ±  3%
Set/Btree/Ascending/Order-162-8    30.78n ±  2%
Set/Btree/Ascending/Order-164-8    30.55n ±  1%
Set/Btree/Ascending/Order-166-8    30.57n ±  6%
Set/Btree/Ascending/Order-168-8    30.09n ±  0%
Set/Btree/Ascending/Order-170-8    29.90n ±  1%
Set/Btree/Ascending/Order-172-8    28.36n ±  1%
Set/Btree/Ascending/Order-174-8    28.40n ±  0%
Set/Btree/Ascending/Order-176-8    28.23n ±  1%
Set/Btree/Ascending/Order-178-8    28.29n ±  1%
Set/Btree/Ascending/Order-180-8    29.02n ±  1%
Set/Btree/Ascending/Order-182-8    28.15n ±  2%
Set/Btree/Ascending/Order-184-8    28.06n ±  1%
Set/Btree/Ascending/Order-186-8    28.06n ±  1%
Set/Btree/Ascending/Order-188-8    27.97n ±  1%
Set/Btree/Ascending/Order-190-8    27.98n ±  1%
Set/Btree/Ascending/Order-192-8    28.08n ±  1%
Set/Btree/Ascending/Order-194-8    27.86n ±  2%
Set/Btree/Ascending/Order-196-8    28.16n ±  2%
Set/Btree/Ascending/Order-198-8    27.85n ±  0%
Set/Btree/Ascending/Order-200-8    27.80n ±  1%
Set/Btree/Ascending/Order-202-8    27.47n ±  3%
Set/Btree/Ascending/Order-204-8    28.16n ±  2%
Set/Btree/Ascending/Order-206-8    27.93n ±  2%
Set/Btree/Ascending/Order-208-8    27.64n ±  1%
Set/Btree/Ascending/Order-210-8    27.88n ±  1%
Set/Btree/Ascending/Order-212-8    28.00n ±  2%
Set/Btree/Ascending/Order-214-8    28.57n ±  2%
Set/Btree/Ascending/Order-216-8    27.87n ±  1%
Set/Btree/Ascending/Order-218-8    27.98n ±  1%
Set/Btree/Ascending/Order-220-8    27.79n ±  1%
Set/Btree/Ascending/Order-222-8    27.84n ±  1%
Set/Btree/Ascending/Order-224-8    27.68n ±  1%
Set/Btree/Ascending/Order-226-8    27.76n ±  2%
Set/Btree/Ascending/Order-228-8    28.94n ±  1%
Set/Btree/Ascending/Order-230-8    28.75n ±  1%
Set/Btree/Ascending/Order-232-8    28.62n ±  1%
Set/Btree/Ascending/Order-234-8    28.48n ±  1%
Set/Btree/Ascending/Order-236-8    28.49n ±  2%
Set/Btree/Ascending/Order-238-8    28.41n ±  1%
Set/Btree/Ascending/Order-240-8    28.33n ±  0%
Set/Btree/Ascending/Order-242-8    28.31n ±  1%
Set/Btree/Ascending/Order-244-8    28.53n ±  2%
Set/Btree/Ascending/Order-246-8    28.16n ±  2%
Set/Btree/Ascending/Order-248-8    28.12n ±  1%
Set/Btree/Ascending/Order-250-8    28.65n ±  4%
Set/Btree/Ascending/Order-252-8    28.02n ±  1%
Set/Btree/Ascending/Order-254-8    28.06n ±  1%
Set/Btree/Ascending/Order-256-8    27.80n ±  1%
Set/Btree/Descending/Order-2-8     113.6n ±  1%
Set/Btree/Descending/Order-4-8     80.13n ±  2%
Set/Btree/Descending/Order-6-8     64.05n ±  1%
Set/Btree/Descending/Order-8-8     58.53n ±  1%
Set/Btree/Descending/Order-10-8    54.17n ±  0%
Set/Btree/Descending/Order-12-8    56.09n ±  7%
Set/Btree/Descending/Order-14-8    50.42n ±  1%
Set/Btree/Descending/Order-16-8    50.87n ±  1%
Set/Btree/Descending/Order-18-8    49.45n ±  0%
Set/Btree/Descending/Order-20-8    49.85n ±  1%
Set/Btree/Descending/Order-22-8    49.02n ±  1%
Set/Btree/Descending/Order-24-8    51.71n ±  5%
Set/Btree/Descending/Order-26-8    48.51n ±  1%
Set/Btree/Descending/Order-28-8    46.59n ±  1%
Set/Btree/Descending/Order-30-8    49.23n ±  2%
Set/Btree/Descending/Order-32-8    50.11n ±  7%
Set/Btree/Descending/Order-34-8    48.93n ±  1%
Set/Btree/Descending/Order-36-8    48.87n ±  1%
Set/Btree/Descending/Order-38-8    51.20n ±  1%
Set/Btree/Descending/Order-40-8    51.05n ±  1%
Set/Btree/Descending/Order-42-8    50.92n ±  0%
Set/Btree/Descending/Order-44-8    49.91n ±  1%
Set/Btree/Descending/Order-46-8    50.29n ±  1%
Set/Btree/Descending/Order-48-8    52.65n ±  1%
Set/Btree/Descending/Order-50-8    52.66n ±  1%
Set/Btree/Descending/Order-52-8    52.46n ±  1%
Set/Btree/Descending/Order-54-8    53.73n ±  1%
Set/Btree/Descending/Order-56-8    53.12n ±  2%
Set/Btree/Descending/Order-58-8    53.61n ±  1%
Set/Btree/Descending/Order-60-8    53.80n ±  1%
Set/Btree/Descending/Order-62-8    54.06n ±  1%
Set/Btree/Descending/Order-64-8    54.54n ±  1%
Set/Btree/Descending/Order-66-8    54.89n ±  1%
Set/Btree/Descending/Order-68-8    55.52n ±  2%
Set/Btree/Descending/Order-70-8    55.61n ±  5%
Set/Btree/Descending/Order-72-8    58.38n ±  1%
Set/Btree/Descending/Order-74-8    58.57n ±  1%
Set/Btree/Descending/Order-76-8    58.64n ±  2%
Set/Btree/Descending/Order-78-8    59.04n ±  2%
Set/Btree/Descending/Order-80-8    59.54n ±  5%
Set/Btree/Descending/Order-82-8    60.68n ±  2%
Set/Btree/Descending/Order-84-8    59.81n ±  1%
Set/Btree/Descending/Order-86-8    59.24n ±  1%
Set/Btree/Descending/Order-88-8    59.64n ±  1%
Set/Btree/Descending/Order-90-8    60.18n ±  1%
Set/Btree/Descending/Order-92-8    60.62n ±  1%
Set/Btree/Descending/Order-94-8    61.10n ±  1%
Set/Btree/Descending/Order-96-8    61.50n ±  1%
Set/Btree/Descending/Order-98-8    62.24n ±  1%
Set/Btree/Descending/Order-100-8   62.49n ±  0%
Set/Btree/Descending/Order-102-8   64.16n ±  1%
Set/Btree/Descending/Order-104-8   64.23n ±  0%
Set/Btree/Descending/Order-106-8   64.89n ±  0%
Set/Btree/Descending/Order-108-8   65.28n ±  1%
Set/Btree/Descending/Order-110-8   65.82n ±  0%
Set/Btree/Descending/Order-112-8   66.50n ±  1%
Set/Btree/Descending/Order-114-8   66.99n ±  0%
Set/Btree/Descending/Order-116-8   67.48n ±  1%
Set/Btree/Descending/Order-118-8   67.83n ±  1%
Set/Btree/Descending/Order-120-8   68.25n ±  1%
Set/Btree/Descending/Order-122-8   68.80n ±  1%
Set/Btree/Descending/Order-124-8   69.11n ±  1%
Set/Btree/Descending/Order-126-8   69.78n ±  1%
Set/Btree/Descending/Order-128-8   70.02n ±  1%
Set/Btree/Descending/Order-130-8   70.59n ±  1%
Set/Btree/Descending/Order-132-8   71.06n ±  1%
Set/Btree/Descending/Order-134-8   71.52n ±  1%
Set/Btree/Descending/Order-136-8   71.99n ±  0%
Set/Btree/Descending/Order-138-8   72.36n ±  0%
Set/Btree/Descending/Order-140-8   72.99n ±  0%
Set/Btree/Descending/Order-142-8   73.36n ±  1%
Set/Btree/Descending/Order-144-8   76.84n ±  0%
Set/Btree/Descending/Order-146-8   77.66n ±  0%
Set/Btree/Descending/Order-148-8   78.37n ±  1%
Set/Btree/Descending/Order-150-8   78.75n ±  1%
Set/Btree/Descending/Order-152-8   79.15n ±  1%
Set/Btree/Descending/Order-154-8   79.91n ±  1%
Set/Btree/Descending/Order-156-8   80.17n ±  1%
Set/Btree/Descending/Order-158-8   80.79n ±  0%
Set/Btree/Descending/Order-160-8   80.86n ±  1%
Set/Btree/Descending/Order-162-8   81.97n ±  0%
Set/Btree/Descending/Order-164-8   82.04n ±  0%
Set/Btree/Descending/Order-166-8   82.61n ±  1%
Set/Btree/Descending/Order-168-8   82.99n ±  0%
Set/Btree/Descending/Order-170-8   83.39n ±  0%
Set/Btree/Descending/Order-172-8   82.21n ±  0%
Set/Btree/Descending/Order-174-8   82.72n ±  0%
Set/Btree/Descending/Order-176-8   83.30n ±  1%
Set/Btree/Descending/Order-178-8   83.97n ±  0%
Set/Btree/Descending/Order-180-8   84.06n ±  1%
Set/Btree/Descending/Order-182-8   84.66n ±  0%
Set/Btree/Descending/Order-184-8   85.31n ±  0%
Set/Btree/Descending/Order-186-8   85.69n ±  0%
Set/Btree/Descending/Order-188-8   86.52n ±  1%
Set/Btree/Descending/Order-190-8   86.73n ±  0%
Set/Btree/Descending/Order-192-8   87.33n ±  0%
Set/Btree/Descending/Order-194-8   87.93n ±  1%
Set/Btree/Descending/Order-196-8   88.45n ±  0%
Set/Btree/Descending/Order-198-8   88.95n ±  1%
Set/Btree/Descending/Order-200-8   89.58n ±  1%
Set/Btree/Descending/Order-202-8   90.05n ±  1%
Set/Btree/Descending/Order-204-8   91.09n ±  1%
Set/Btree/Descending/Order-206-8   91.55n ±  0%
Set/Btree/Descending/Order-208-8   91.97n ±  1%
Set/Btree/Descending/Order-210-8   92.71n ±  1%
Set/Btree/Descending/Order-212-8   93.26n ±  0%
Set/Btree/Descending/Order-214-8   94.02n ±  1%
Set/Btree/Descending/Order-216-8   94.45n ±  1%
Set/Btree/Descending/Order-218-8   95.14n ±  0%
Set/Btree/Descending/Order-220-8   95.59n ±  0%
Set/Btree/Descending/Order-222-8   96.14n ±  0%
Set/Btree/Descending/Order-224-8   96.75n ±  1%
Set/Btree/Descending/Order-226-8   97.10n ±  1%
Set/Btree/Descending/Order-228-8   98.89n ±  1%
Set/Btree/Descending/Order-230-8   99.23n ±  0%
Set/Btree/Descending/Order-232-8   99.69n ±  0%
Set/Btree/Descending/Order-234-8   100.5n ±  1%
Set/Btree/Descending/Order-236-8   101.0n ±  0%
Set/Btree/Descending/Order-238-8   101.6n ±  1%
Set/Btree/Descending/Order-240-8   102.0n ±  0%
Set/Btree/Descending/Order-242-8   102.1n ±  0%
Set/Btree/Descending/Order-244-8   103.0n ±  1%
Set/Btree/Descending/Order-246-8   103.3n ±  0%
Set/Btree/Descending/Order-248-8   104.1n ±  1%
Set/Btree/Descending/Order-250-8   104.4n ±  1%
Set/Btree/Descending/Order-252-8   104.8n ±  0%
Set/Btree/Descending/Order-254-8   105.8n ±  1%
Set/Btree/Descending/Order-256-8   106.0n ±  0%
Set/Btree/Sawtooth/Order-2-8       125.2n ±  2%
Set/Btree/Sawtooth/Order-4-8       82.56n ±  1%
Set/Btree/Sawtooth/Order-6-8       66.14n ±  1%
Set/Btree/Sawtooth/Order-8-8       59.82n ±  1%
Set/Btree/Sawtooth/Order-10-8      55.76n ±  1%
Set/Btree/Sawtooth/Order-12-8      55.58n ±  2%
Set/Btree/Sawtooth/Order-14-8      49.74n ±  1%
Set/Btree/Sawtooth/Order-16-8      49.95n ±  1%
Set/Btree/Sawtooth/Order-18-8      48.12n ±  1%
Set/Btree/Sawtooth/Order-20-8      47.66n ±  1%
Set/Btree/Sawtooth/Order-22-8      46.48n ±  1%
Set/Btree/Sawtooth/Order-24-8      45.56n ±  2%
Set/Btree/Sawtooth/Order-26-8      44.54n ±  2%
Set/Btree/Sawtooth/Order-28-8      42.34n ±  1%
Set/Btree/Sawtooth/Order-30-8      44.27n ±  1%
Set/Btree/Sawtooth/Order-32-8      44.48n ±  1%
Set/Btree/Sawtooth/Order-34-8      44.35n ±  1%
Set/Btree/Sawtooth/Order-36-8      44.52n ±  1%
Set/Btree/Sawtooth/Order-38-8      46.67n ±  1%
Set/Btree/Sawtooth/Order-40-8      46.65n ±  1%
Set/Btree/Sawtooth/Order-42-8      46.23n ±  1%
Set/Btree/Sawtooth/Order-44-8      44.99n ±  2%
Set/Btree/Sawtooth/Order-46-8      46.12n ±  2%
Set/Btree/Sawtooth/Order-48-8      48.91n ±  4%
Set/Btree/Sawtooth/Order-50-8      47.10n ±  3%
Set/Btree/Sawtooth/Order-52-8      46.61n ±  3%
Set/Btree/Sawtooth/Order-54-8      46.71n ±  4%
Set/Btree/Sawtooth/Order-56-8      45.01n ±  5%
Set/Btree/Sawtooth/Order-58-8      44.22n ±  1%
Set/Btree/Sawtooth/Order-60-8      44.00n ±  1%
Set/Btree/Sawtooth/Order-62-8      44.52n ±  2%
Set/Btree/Sawtooth/Order-64-8      44.67n ±  1%
Set/Btree/Sawtooth/Order-66-8      44.21n ±  1%
Set/Btree/Sawtooth/Order-68-8      44.82n ±  1%
Set/Btree/Sawtooth/Order-70-8      44.68n ±  1%
Set/Btree/Sawtooth/Order-72-8      47.25n ±  3%
Set/Btree/Sawtooth/Order-74-8      47.44n ±  5%
Set/Btree/Sawtooth/Order-76-8      46.05n ±  1%
Set/Btree/Sawtooth/Order-78-8      45.81n ±  1%
Set/Btree/Sawtooth/Order-80-8      46.20n ±  6%
Set/Btree/Sawtooth/Order-82-8      45.96n ±  1%
Set/Btree/Sawtooth/Order-84-8      46.18n ±  2%
Set/Btree/Sawtooth/Order-86-8      45.18n ±  1%
Set/Btree/Sawtooth/Order-88-8      45.41n ±  1%
Set/Btree/Sawtooth/Order-90-8      45.50n ±  1%
Set/Btree/Sawtooth/Order-92-8      45.47n ±  1%
Set/Btree/Sawtooth/Order-94-8      45.70n ±  1%
Set/Btree/Sawtooth/Order-96-8      45.92n ±  1%
Set/Btree/Sawtooth/Order-98-8      47.23n ±  5%
Set/Btree/Sawtooth/Order-100-8     46.38n ±  3%
Set/Btree/Sawtooth/Order-102-8     47.59n ±  1%
Set/Btree/Sawtooth/Order-104-8     48.52n ±  2%
Set/Btree/Sawtooth/Order-106-8     47.76n ±  1%
Set/Btree/Sawtooth/Order-108-8     47.59n ±  1%
Set/Btree/Sawtooth/Order-110-8     48.39n ±  1%
Set/Btree/Sawtooth/Order-112-8     48.40n ±  1%
Set/Btree/Sawtooth/Order-114-8     48.47n ±  1%
Set/Btree/Sawtooth/Order-116-8     48.98n ±  1%
Set/Btree/Sawtooth/Order-118-8     48.96n ±  1%
Set/Btree/Sawtooth/Order-120-8     49.68n ±  1%
Set/Btree/Sawtooth/Order-122-8     49.63n ±  1%
Set/Btree/Sawtooth/Order-124-8     49.84n ±  1%
Set/Btree/Sawtooth/Order-126-8     49.96n ±  1%
Set/Btree/Sawtooth/Order-128-8     49.88n ±  1%
Set/Btree/Sawtooth/Order-130-8     50.14n ±  1%
Set/Btree/Sawtooth/Order-132-8     50.19n ±  1%
Set/Btree/Sawtooth/Order-134-8     50.38n ±  2%
Set/Btree/Sawtooth/Order-136-8     50.87n ±  1%
Set/Btree/Sawtooth/Order-138-8     51.22n ±  1%
Set/Btree/Sawtooth/Order-140-8     51.13n ±  1%
Set/Btree/Sawtooth/Order-142-8     50.96n ±  1%
Set/Btree/Sawtooth/Order-144-8     54.92n ±  1%
Set/Btree/Sawtooth/Order-146-8     54.99n ±  1%
Set/Btree/Sawtooth/Order-148-8     55.14n ±  1%
Set/Btree/Sawtooth/Order-150-8     55.49n ±  1%
Set/Btree/Sawtooth/Order-152-8     55.61n ±  1%
Set/Btree/Sawtooth/Order-154-8     55.83n ±  2%
Set/Btree/Sawtooth/Order-156-8     55.93n ±  1%
Set/Btree/Sawtooth/Order-158-8     56.22n ±  1%
Set/Btree/Sawtooth/Order-160-8     56.16n ±  1%
Set/Btree/Sawtooth/Order-162-8     56.78n ±  1%
Set/Btree/Sawtooth/Order-164-8     57.28n ±  2%
Set/Btree/Sawtooth/Order-166-8     57.29n ±  1%
Set/Btree/Sawtooth/Order-168-8     57.26n ±  1%
Set/Btree/Sawtooth/Order-170-8     57.24n ±  1%
Set/Btree/Sawtooth/Order-172-8     56.19n ±  1%
Set/Btree/Sawtooth/Order-174-8     56.08n ±  1%
Set/Btree/Sawtooth/Order-176-8     56.15n ±  1%
Set/Btree/Sawtooth/Order-178-8     56.63n ±  1%
Set/Btree/Sawtooth/Order-180-8     56.62n ±  1%
Set/Btree/Sawtooth/Order-182-8     57.26n ±  1%
Set/Btree/Sawtooth/Order-184-8     57.29n ±  1%
Set/Btree/Sawtooth/Order-186-8     57.36n ±  0%
Set/Btree/Sawtooth/Order-188-8     57.53n ±  1%
Set/Btree/Sawtooth/Order-190-8     57.94n ±  0%
Set/Btree/Sawtooth/Order-192-8     58.04n ±  1%
Set/Btree/Sawtooth/Order-194-8     58.52n ±  1%
Set/Btree/Sawtooth/Order-196-8     58.61n ±  1%
Set/Btree/Sawtooth/Order-198-8     59.00n ±  1%
Set/Btree/Sawtooth/Order-200-8     59.01n ±  1%
Set/Btree/Sawtooth/Order-202-8     59.80n ±  2%
Set/Btree/Sawtooth/Order-204-8     60.55n ±  1%
Set/Btree/Sawtooth/Order-206-8     60.78n ±  2%
Set/Btree/Sawtooth/Order-208-8     60.90n ±  0%
Set/Btree/Sawtooth/Order-210-8     61.01n ±  1%
Set/Btree/Sawtooth/Order-212-8     61.11n ±  1%
Set/Btree/Sawtooth/Order-214-8     61.90n ±  1%
Set/Btree/Sawtooth/Order-216-8     62.31n ±  1%
Set/Btree/Sawtooth/Order-218-8     62.48n ±  1%
Set/Btree/Sawtooth/Order-220-8     62.67n ±  1%
Set/Btree/Sawtooth/Order-222-8     62.70n ±  1%
Set/Btree/Sawtooth/Order-224-8     63.76n ±  2%
Set/Btree/Sawtooth/Order-226-8     63.15n ±  1%
Set/Btree/Sawtooth/Order-228-8     64.51n ±  1%
Set/Btree/Sawtooth/Order-230-8     64.51n ±  0%
Set/Btree/Sawtooth/Order-232-8     64.98n ±  1%
Set/Btree/Sawtooth/Order-234-8     65.17n ±  1%
Set/Btree/Sawtooth/Order-236-8     65.35n ±  1%
Set/Btree/Sawtooth/Order-238-8     66.02n ±  1%
Set/Btree/Sawtooth/Order-240-8     65.98n ±  1%
Set/Btree/Sawtooth/Order-242-8     66.24n ±  1%
Set/Btree/Sawtooth/Order-244-8     66.38n ±  1%
Set/Btree/Sawtooth/Order-246-8     66.31n ±  1%
Set/Btree/Sawtooth/Order-248-8     66.79n ±  1%
Set/Btree/Sawtooth/Order-250-8     67.73n ±  1%
Set/Btree/Sawtooth/Order-252-8     67.25n ±  1%
Set/Btree/Sawtooth/Order-254-8     67.73n ±  0%
Set/Btree/Sawtooth/Order-256-8     67.62n ±  1%
Set/Map/Random-8                   130.2n ±  1%
Set/Map/Ascending-8                120.3n ±  1%
Set/Map/Descending-8               120.1n ±  1%
Set/Map/Sawtooth-8                 120.3n ±  1%
geomean                            80.13n

                                 │  binary.txt  │
                                 │     B/op     │
Generator/Random-8                 0.000 ± 0%
Generator/Ascending-8              0.000 ± 0%
Generator/Descending-8             0.000 ± 0%
Generator/Sawtooth-8               0.000 ± 0%
Get/Btree/Random/Order-2-8         0.000 ± 0%
Get/Btree/Random/Order-4-8         0.000 ± 0%
Get/Btree/Random/Order-6-8         0.000 ± 0%
Get/Btree/Random/Order-8-8         0.000 ± 0%
Get/Btree/Random/Order-10-8        0.000 ± 0%
Get/Btree/Random/Order-12-8        0.000 ± 0%
Get/Btree/Random/Order-14-8        0.000 ± 0%
Get/Btree/Random/Order-16-8        0.000 ± 0%
Get/Btree/Random/Order-18-8        0.000 ± 0%
Get/Btree/Random/Order-20-8        0.000 ± 0%
Get/Btree/Random/Order-22-8        0.000 ± 0%
Get/Btree/Random/Order-24-8        0.000 ± 0%
Get/Btree/Random/Order-26-8        0.000 ± 0%
Get/Btree/Random/Order-28-8        0.000 ± 0%
Get/Btree/Random/Order-30-8        0.000 ± 0%
Get/Btree/Random/Order-32-8        0.000 ± 0%
Get/Btree/Random/Order-34-8        0.000 ± 0%
Get/Btree/Random/Order-36-8        0.000 ± 0%
Get/Btree/Random/Order-38-8        0.000 ± 0%
Get/Btree/Random/Order-40-8        0.000 ± 0%
Get/Btree/Random/Order-42-8        0.000 ± 0%
Get/Btree/Random/Order-44-8        0.000 ± 0%
Get/Btree/Random/Order-46-8        0.000 ± 0%
Get/Btree/Random/Order-48-8        0.000 ± 0%
Get/Btree/Random/Order-50-8        0.000 ± 0%
Get/Btree/Random/Order-52-8        0.000 ± 0%
Get/Btree/Random/Order-54-8        0.000 ± 0%
Get/Btree/Random/Order-56-8        0.000 ± 0%
Get/Btree/Random/Order-58-8        0.000 ± 0%
Get/Btree/Random/Order-60-8        0.000 ± 0%
Get/Btree/Random/Order-62-8        0.000 ± 0%
Get/Btree/Random/Order-64-8        0.000 ± 0%
Get/Btree/Random/Order-66-8        0.000 ± 0%
Get/Btree/Random/Order-68-8        0.000 ± 0%
Get/Btree/Random/Order-70-8        0.000 ± 0%
Get/Btree/Random/Order-72-8        0.000 ± 0%
Get/Btree/Random/Order-74-8        0.000 ± 0%
Get/Btree/Random/Order-76-8        0.000 ± 0%
Get/Btree/Random/Order-78-8        0.000 ± 0%
Get/Btree/Random/Order-80-8        0.000 ± 0%
Get/Btree/Random/Order-82-8        0.000 ± 0%
Get/Btree/Random/Order-84-8        0.000 ± 0%
Get/Btree/Random/Order-86-8        0.000 ± 0%
Get/Btree/Random/Order-88-8        0.000 ± 0%
Get/Btree/Random/Order-90-8        0.000 ± 0%
Get/Btree/Random/Order-92-8        0.000 ± 0%
Get/Btree/Random/Order-94-8        0.000 ± 0%
Get/Btree/Random/Order-96-8        0.000 ± 0%
Get/Btree/Random/Order-98-8        0.000 ± 0%
Get/Btree/Random/Order-100-8       0.000 ± 0%
Get/Btree/Random/Order-102-8       0.000 ± 0%
Get/Btree/Random/Order-104-8       0.000 ± 0%
Get/Btree/Random/Order-106-8       0.000 ± 0%
Get/Btree/Random/Order-108-8       0.000 ± 0%
Get/Btree/Random/Order-110-8       0.000 ± 0%
Get/Btree/Random/Order-112-8       0.000 ± 0%
Get/Btree/Random/Order-114-8       0.000 ± 0%
Get/Btree/Random/Order-116-8       0.000 ± 0%
Get/Btree/Random/Order-118-8       0.000 ± 0%
Get/Btree/Random/Order-120-8       0.000 ± 0%
Get/Btree/Random/Order-122-8       0.000 ± 0%
Get/Btree/Random/Order-124-8       0.000 ± 0%
Get/Btree/Random/Order-126-8       0.000 ± 0%
Get/Btree/Random/Order-128-8       0.000 ± 0%
Get/Btree/Random/Order-130-8       0.000 ± 0%
Get/Btree/Random/Order-132-8       0.000 ± 0%
Get/Btree/Random/Order-134-8       0.000 ± 0%
Get/Btree/Random/Order-136-8       0.000 ± 0%
Get/Btree/Random/Order-138-8       0.000 ± 0%
Get/Btree/Random/Order-140-8       0.000 ± 0%
Get/Btree/Random/Order-142-8       0.000 ± 0%
Get/Btree/Random/Order-144-8       0.000 ± 0%
Get/Btree/Random/Order-146-8       0.000 ± 0%
Get/Btree/Random/Order-148-8       0.000 ± 0%
Get/Btree/Random/Order-150-8       0.000 ± 0%
Get/Btree/Random/Order-152-8       0.000 ± 0%
Get/Btree/Random/Order-154-8       0.000 ± 0%
Get/Btree/Random/Order-156-8       0.000 ± 0%
Get/Btree/Random/Order-158-8       0.000 ± 0%
Get/Btree/Random/Order-160-8       0.000 ± 0%
Get/Btree/Random/Order-162-8       0.000 ± 0%
Get/Btree/Random/Order-164-8       0.000 ± 0%
Get/Btree/Random/Order-166-8       0.000 ± 0%
Get/Btree/Random/Order-168-8       0.000 ± 0%
Get/Btree/Random/Order-170-8       0.000 ± 0%
Get/Btree/Random/Order-172-8       0.000 ± 0%
Get/Btree/Random/Order-174-8       0.000 ± 0%
Get/Btree/Random/Order-176-8       0.000 ± 0%
Get/Btree/Random/Order-178-8       0.000 ± 0%
Get/Btree/Random/Order-180-8       0.000 ± 0%
Get/Btree/Random/Order-182-8       0.000 ± 0%
Get/Btree/Random/Order-184-8       0.000 ± 0%
Get/Btree/Random/Order-186-8       0.000 ± 0%
Get/Btree/Random/Order-188-8       0.000 ± 0%
Get/Btree/Random/Order-190-8       0.000 ± 0%
Get/Btree/Random/Order-192-8       0.000 ± 0%
Get/Btree/Random/Order-194-8       0.000 ± 0%
Get/Btree/Random/Order-196-8       0.000 ± 0%
Get/Btree/Random/Order-198-8       0.000 ± 0%
Get/Btree/Random/Order-200-8       0.000 ± 0%
Get/Btree/Random/Order-202-8       0.000 ± 0%
Get/Btree/Random/Order-204-8       0.000 ± 0%
Get/Btree/Random/Order-206-8       0.000 ± 0%
Get/Btree/Random/Order-208-8       0.000 ± 0%
Get/Btree/Random/Order-210-8       0.000 ± 0%
Get/Btree/Random/Order-212-8       0.000 ± 0%
Get/Btree/Random/Order-214-8       0.000 ± 0%
Get/Btree/Random/Order-216-8       0.000 ± 0%
Get/Btree/Random/Order-218-8       0.000 ± 0%
Get/Btree/Random/Order-220-8       0.000 ± 0%
Get/Btree/Random/Order-222-8       0.000 ± 0%
Get/Btree/Random/Order-224-8       0.000 ± 0%
Get/Btree/Random/Order-226-8       0.000 ± 0%
Get/Btree/Random/Order-228-8       0.000 ± 0%
Get/Btree/Random/Order-230-8       0.000 ± 0%
Get/Btree/Random/Order-232-8       0.000 ± 0%
Get/Btree/Random/Order-234-8       0.000 ± 0%
Get/Btree/Random/Order-236-8       0.000 ± 0%
Get/Btree/Random/Order-238-8       0.000 ± 0%
Get/Btree/Random/Order-240-8       0.000 ± 0%
